Expert,Age,Gender,Red wine consumer,Frequency,JAR Sweetness ,JAR Acidity,JAR Astringency ,JAR Body ,JAR Fruity,Acceptance,JAR Sweetness ,JAR Acidity,JAR Astringency ,JAR Body ,JAR Fruity,Acceptance,JAR Sweetness ,JAR Acidity,JAR Astringency ,JAR Body ,JAR Fruity,Acceptance,JAR Sweetness ,JAR Acidity,JAR Astringency ,JAR Body ,JAR Fruity,Acceptance,JAR Sweetness ,JAR Acidity,JAR Astringency ,JAR Body ,JAR Fruity,Acceptance
si,24,H,si,6,0,0,0,-1,-1,5,0,0,1,0,0,7,1,0,0,0,1,6,0,0,0,0,0,8,1,-1,0,0,1,4
si,27,H,si,4,-1,0,1,0,0,6,1,1,0,0,-1,5,0,0,-1,0,0,6,1,1,0,0,-1,7,-1,-1,0,1,0,6
si,23,H,si,2,0,0,1,0,-1,7,-2,1,0,0,0,4,0,0,0,0,0,8,-1,1,0,-1,-1,5,-2,-2,-2,-2,-1,2
si,22,H,si,10,0,1,0,-1,0,5,-1,0,0,-2,-1,4,2,-2,-1,0,-1,3,-1,0,0,-1,-1,4,1,0,0,0,-1,5
si,23,H,si,8,-1,-1,2,-1,0,7,-1,1,1,1,-1,3,0,-1,0,0,1,7,0,0,1,1,1,8,1,-1,0,0,0,7
si,22,H,si,4,0,0,-1,-1,-1,7,-1,0,0,0,-1,9,2,-2,-1,-1,-1,4,0,0,0,-1,0,9,1,-1,0,-1,0,5
si,21,H,si,5,0,0,0,-2,-1,5,1,-1,0,0,1,4,-1,0,0,-1,-1,4,-1,0,1,0,-1,5,1,0,0,-1,0,5
si,26,H,si,4,0,1,1,-1,0,6,-1,1,1,0,0,5,1,0,0,0,0,5,0,0,1,0,0,8,1,-1,-1,0,0,6
si,28,H,si,8,0,0,0,-1,1,6,-2,1,1,0,1,3,1,-2,-1,0,0,7,0,0,0,0,0,7,2,0,-2,0,0,8
si,25,H,si,3,0,0,0,-1,-1,6,0,1,1,0,0,6,1,0,0,0,0,5,0,0,0,0,0,8,1,-1,0,0,0,6
si,23,H,si,5,-1,1,1,-1,0,7,0,0,1,0,0,7,2,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,1,8
si,25,H,si,6,0,1,1,-1,-1,6,0,1,0,-1,0,7,1,0,-1,0,0,7,0,0,0,-1,0,8,0,0,0,0,0,8
si,21,H,si,10,-2,1,0,-1,-1,7,-1,-1,-2,1,0,6,0,-1,0,-1,1,5,-2,-1,2,-1,0,4,0,-2,-1,-2,1,4
si,21,H,si,4,-1,1,0,-1,-2,5,0,0,1,0,-1,5,2,0,0,0,2,6,-1,1,1,0,-1,5,1,0,0,0,1,7
si,22,H,si,2,-1,1,1,-1,0,4,-1,0,-1,0,-1,4,1,-1,0,0,0,7,-1,0,0,-1,-1,3,0,0,0,0,0,8
si,23,H,si,2,0,0,1,0,-1,5,-1,1,1,0,0,5,0,0,0,0,0,7,0,1,1,0,-1,5,0,-1,2,1,0,3
si,23,H,si,3,-2,2,-1,-1,-1,2,-1,1,0,-1,-1,3,0,0,0,-1,0,6,-1,1,1,-1,-2,3,0,0,-1,0,0,7
si,22,H,si,2,0,1,0,-1,0,5,0,0,1,0,-1,4,1,-1,-1,0,1,7,0,1,1,-1,0,5,1,0,-1,0,0,7
si,20,H,si,1,-1,0,1,0,-1,5,0,0,1,0,-1,6,0,0,0,0,0,9,-1,0,2,-1,-1,2,0,0,0,0,1,8
si,20,H,si,5,1,1,0,0,-1,5,-1,1,1,-1,0,3,1,0,0,-1,-1,3,0,1,1,0,0,3,1,-1,1,0,-1,2
si,25,H,si,5,-2,2,1,-1,-1,2,-1,1,1,-1,-1,3,1,0,0,-1,0,7,0,1,1,-1,-1,5,0,0,0,-1,0,8
si,31,H,si,15,-2,-1,-1,-2,-2,1,0,1,-2,-2,-2,2,2,-2,0,-2,1,3,-2,0,1,-1,-2,4,2,-2,-1,-2,2,1
si,26,H,si,6,0,1,0,-1,0,7,0,0,0,-1,0,7,1,-1,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,8
si,23,H,si,2,-1,1,1,0,-1,4,-1,0,1,-1,-1,5,1,0,0,0,0,8,-1,1,0,-1,-1,6,0,0,0,0,0,8
si,26,H,si,5,-2,2,0,-2,0,5,0,1,0,-1,-1,7,2,0,0,0,0,7,0,1,0,-1,-1,5,2,0,0,0,0,4
si,23,M,si,2,0,0,0,-1,-1,7,-2,1,2,1,0,2,0,0,-1,0,2,7,0,0,0,-1,0,7,0,0,0,0,0,8
si,21,M,si,3,-1,0,1,-1,0,5,0,0,0,0,0,8,1,0,-1,0,0,7,-1,0,0,-1,0,6,0,-1,0,0,0,8
si,25,M,si,4,-1,1,1,0,-1,3,-2,1,2,1,-1,1,2,1,1,0,0,6,0,0,0,0,0,8,0,0,0,1,0,9
si,24,M,si,1,-1,0,1,-1,0,6,0,0,1,-1,0,7,1,-1,0,0,-1,4,0,0,-1,-1,-1,5,0,0,0,-1,-1,7
si,18,M,si,5,-1,0,0,0,-1,4,-1,1,0,0,-1,3,2,-1,0,0,-1,2,-1,1,1,0,-1,4,1,-1,0,0,-1,1
si,21,M,si,3,-1,0,0,-1,-1,5,-2,1,1,-2,-2,2,1,-1,-1,-2,-1,2,-2,0,1,-1,-1,3,2,-2,-1,-1,1,2
si,20,M,si,5,-1,1,1,-1,-1,4,0,0,0,-1,-1,5,0,0,0,0,1,6,-1,0,0,-1,0,5,0,0,1,-1,1,6
si,19,M,si,4,-2,0,0,0,-1,5,-2,0,0,0,-1,4,0,0,0,0,0,8,-2,0,0,0,0,7,0,-1,-1,0,-1,7
si,20,M,si,4,0,0,0,0,0,9,-1,1,0,0,0,4,0,-1,0,0,-2,7,-1,0,-1,0,0,6,1,0,0,0,-1,5
si,19,M,si,1,-1,0,0,-1,-2,5,-1,0,2,0,-1,5,0,0,0,-1,0,5,0,0,1,0,0,6,1,-1,-1,0,0,2
si,22,M,si,3,-2,1,0,-2,-2,4,-1,0,0,-1,-1,4,0,-1,0,0,-1,5,-1,1,1,-1,-1,5,0,-1,-1,-1,0,5
si,19,M,si,1,-2,1,1,-2,-2,2,-2,0,0,-1,-1,3,2,-2,-1,0,-1,3,0,0,0,-1,-1,5,1,-1,0,0,0,3
si,19,M,si,3,-2,2,1,-2,-2,2,-1,1,2,1,-1,4,0,1,1,0,0,7,-2,2,2,-1,-2,1,0,0,0,-1,-1,8
si,20,M,si,1,0,0,1,0,1,6,-1,0,1,0,0,4,1,0,0,0,0,8,-1,0,1,0,-1,4,1,0,0,0,1,8
si,21,M,si,1,-1,0,0,2,0,7,-1,0,0,0,-1,5,0,-1,-1,0,0,8,-2,1,0,-1,-2,5,0,0,0,0,0,8
si,21,M,si,1,0,0,1,0,0,8,0,0,0,0,-1,7,0,0,0,0,0,8,-1,-1,-1,0,1,3,0,0,0,0,0,8
si,20,M,no,1,-1,0,1,0,-1,5,0,1,1,0,2,6,-1,1,0,0,-1,7,-2,0,-1,0,1,7,-2,1,1,0,0,8
si,27,M,si,2,-2,-2,1,-1,-1,3,-2,0,0,-1,-2,4,1,-1,-1,0,1,7,-2,2,2,-2,-1,2,0,0,0,0,0,7
si,45,M,si,2,-1,0,0,-1,0,8,0,-1,1,0,-1,7,0,0,0,-1,0,9,-1,0,0,0,0,8,0,0,0,0,0,9
si,47,M,si,4,0,0,0,0,0,8,-1,1,1,1,0,4,2,-1,1,0,0,4,0,0,0,0,0,7,2,-1,1,-1,-1,7
si,46,M,si,10,0,1,1,-2,0,6,-1,1,1,-1,-2,4,0,0,0,0,0,7,-1,0,1,-2,0,6,0,-2,2,-2,0,1
si,23,M,si,3,0,0,-1,-1,0,6,-2,2,1,0,-2,3,1,-1,0,-1,0,5,-2,0,2,0,-1,5,0,0,0,0,0,8
si,24,M,si,3,-2,2,1,-2,-2,1,-2,1,2,-1,-1,2,2,0,-1,0,-1,5,0,2,1,-2,-2,2,1,0,0,-1,-1,5
si,21,M,no,0,0,0,0,-1,0,5,-2,0,-2,0,-2,1,1,0,-1,0,2,3,-1,0,0,0,0,3,1,-1,-1,0,1,3
si,30,M,si,3,0,0,0,-1,0,5,-1,0,0,0,0,4,-2,0,0,0,-1,5,-1,0,0,-1,0,6,2,-1,0,0,0,5
no,19,H,si,2,-1,1,0,-2,0,5,-1,2,1,0,1,7,1,0,0,0,0,9,-2,2,0,-1,0,3,0,1,0,-1,0,9
no,19,H,si,2,-2,1,0,1,0,4,-1,1,1,0,-1,6,1,0,0,0,0,8,-1,1,1,-1,0,6,0,0,0,1,0,8
no,21,H,no,0,-1,0,-1,0,0,5,-2,0,1,1,-1,3,2,-2,-2,-1,1,4,-1,1,0,0,-1,7,2,-2,-2,-1,2,6
no,19,H,no,0,0,1,0,0,0,8,-1,1,1,1,-1,4,1,0,0,1,2,9,-2,1,2,-1,-2,1,1,-2,0,-1,1,5
no,25,H,si,3,0,0,1,-1,1,6,-1,1,1,-1,-1,4,1,0,0,-1,1,7,-1,0,-1,0,0,4,1,0,0,-1,1,6
no,42,H,no,0,0,1,0,-1,-1,7,0,1,0,-1,-1,6,2,-1,-2,-2,1,2,-1,0,1,-2,-2,5,2,1,-1,-2,2,3
no,20,H,si,3,-2,1,-1,-1,-1,4,-1,0,-1,0,0,7,2,-1,0,0,1,3,-1,0,0,0,-1,4,1,0,0,0,0,6
no,28,H,si,3,1,0,0,-1,1,5,0,1,0,-1,0,4,0,0,0,0,0,6,0,0,1,-1,0,7,2,-1,-1,0,1,4
no,22,H,si,1,-1,0,-2,-1,0,5,0,0,-1,-1,0,7,2,-2,-2,1,2,6,-1,1,0,0,-1,4,1,-2,-2,0,1,7
no,23,H,si,2,-1,-2,0,0,1,5,0,0,0,0,0,9,2,-1,0,0,-1,4,1,0,0,0,0,8,0,0,0,0,0,9
no,24,H,no,0,1,1,-1,-2,1,3,0,1,0,0,-1,8,2,-1,-1,-2,2,2,0,0,-1,-1,-1,7,1,-1,-1,0,0,7
no,22,H,si,4,-1,0,0,-2,-1,6,0,0,1,0,0,6,0,0,0,0,0,9,-2,0,1,0,-1,5,0,0,0,0,-1,8
no,20,H,si,4,-1,0,1,-2,0,4,-1,1,0,0,0,7,2,-2,-1,0,2,7,-1,1,0,0,0,7,2,-1,-1,0,2,7
no,19,H,si,4,0,-1,-1,-1,-1,5,-1,0,1,-1,-1,5,1,0,0,0,0,6,-1,1,1,0,-1,5,1,1,1,-1,-1,5
no,19,H,si,5,0,0,-1,-1,0,7,0,0,-1,-1,-1,4,1,0,0,0,0,5,0,0,-1,-1,-1,5,-1,-1,-1,0,0,4
no,32,H,si,1,-1,1,1,-1,0,4,-1,1,1,0,-1,5,2,0,0,1,-1,2,-2,1,1,0,0,5,2,0,-1,0,1,5
no,25,H,si,1,0,-1,0,-1,-2,5,-2,1,1,0,-2,4,0,-1,0,1,0,5,-2,1,1,-1,-1,5,1,1,0,0,0,5
no,20,H,si,2,-1,1,0,-1,-1,6,-2,1,0,1,-2,4,2,-2,0,-1,2,3,0,1,1,0,0,7,1,-1,-1,-2,1,4
